"DataType","Version","pro_long","pro_lat","entry_name"
"Layer","ISRaDv1",-106.6,68.1,"Bird_2002"
"Layer","ISRaDv1",-110.6,64.8,"Bird_2002"
"Layer","ISRaDv1",-115,62.5,"Bird_2002"
"Layer","ISRaDv1",-115.3,60.6,"Bird_2002"
"Layer","ISRaDv1",-110.9,54.1,"Bird_2002"
"Layer","ISRaDv1",-110.1,49.6,"Bird_2002"
"Layer","ISRaDv1",38.5,-3,"Gillson_2004"
"Layer","ISRaDv1",38.5,-3,"Gillson_2004"
"Layer","ISRaDv1",38.5,-3,"Gillson_2004"
"Layer","ISRaDv1",-2.399167,54.691111,"Hardie_2011"
"Layer","ISRaDv1",-2.399167,54.691111,"Hardie_2011"
"Layer","ISRaDv1",-2.399167,54.691111,"Hardie_2011"
"Layer","ISRaDv1",-3.243056,55.792778,"Leith_2014"
"Layer","ISRaDv1",-3.243056,55.792778,"Leith_2014"
"Layer","ISRaDv1",-3.243056,55.792778,"Leith_2014"
"Layer","ISRaDv1",-3.243056,55.792778,"Leith_2014"
"Layer","ISRaDv1",-3.243056,55.792778,"Leith_2014"
"Layer","ISRaDv1",-3.243056,55.792778,"Leith_2014"
"Layer","ISRaDv1",-3.243056,55.792778,"Leith_2014"
"Layer","ISRaDv1",-3.243056,55.792778,"Leith_2014"
"Layer","ISRaDv1",-3.243056,55.792778,"Leith_2014"
"Layer","ISRaDv1",-3.243056,55.792778,"Leith_2014"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Layer","ISRaDv1",16.1,78.17,"Lupascu_2018"
"Fraction","ISRaDv1",-106.6,68.1,"Bird_2002"
"Fraction","ISRaDv1",-106.6,68.1,"Bird_2002"
"Fraction","ISRaDv1",-106.6,68.1,"Bird_2002"
"Fraction","ISRaDv1",-106.6,68.1,"Bird_2002"
"Fraction","ISRaDv1",-106.6,68.1,"Bird_2002"
"Fraction","ISRaDv1",-110.6,64.8,"Bird_2002"
"Fraction","ISRaDv1",-110.6,64.8,"Bird_2002"
"Fraction","ISRaDv1",-110.6,64.8,"Bird_2002"
"Fraction","ISRaDv1",-110.6,64.8,"Bird_2002"
"Fraction","ISRaDv1",-110.6,64.8,"Bird_2002"
"Fraction","ISRaDv1",-115,62.5,"Bird_2002"
"Fraction","ISRaDv1",-115,62.5,"Bird_2002"
"Fraction","ISRaDv1",-115,62.5,"Bird_2002"
"Fraction","ISRaDv1",-115,62.5,"Bird_2002"
"Fraction","ISRaDv1",-115,62.5,"Bird_2002"
"Fraction","ISRaDv1",-115.3,60.6,"Bird_2002"
"Fraction","ISRaDv1",-115.3,60.6,"Bird_2002"
"Fraction","ISRaDv1",-115.3,60.6,"Bird_2002"
"Fraction","ISRaDv1",-115.3,60.6,"Bird_2002"
"Fraction","ISRaDv1",-115.3,60.6,"Bird_2002"
"Fraction","ISRaDv1",-110.9,54.1,"Bird_2002"
"Fraction","ISRaDv1",-110.9,54.1,"Bird_2002"
"Fraction","ISRaDv1",-110.9,54.1,"Bird_2002"
"Fraction","ISRaDv1",-110.9,54.1,"Bird_2002"
"Fraction","ISRaDv1",-110.9,54.1,"Bird_2002"
"Fraction","ISRaDv1",-110.1,49.6,"Bird_2002"
"Fraction","ISRaDv1",-110.1,49.6,"Bird_2002"
"Fraction","ISRaDv1",-110.1,49.6,"Bird_2002"
"Fraction","ISRaDv1",-110.1,49.6,"Bird_2002"
