Publication Years	Record Count	% of 3,727
2025	83	2.227
2024	146	3.917
2023	148	3.971
2022	153	4.105
2021	173	4.642
2020	172	4.615
2019	184	4.937
2018	172	4.615
2017	153	4.105
2016	152	4.078
2015	150	4.025
2014	143	3.837
2013	190	5.098
2012	113	3.032
2011	124	3.327
2010	116	3.112
2009	124	3.327
2008	102	2.737
2007	85	2.281
2006	74	1.986
2005	67	1.798
2004	83	2.227
2003	79	2.120
2002	64	1.717
2001	70	1.878
2000	52	1.395
1999	55	1.476
1998	61	1.637
1997	42	1.127
1996	57	1.529
1995	41	1.100
1994	43	1.154
1993	28	0.751
1992	25	0.671
1991	20	0.537
1990	20	0.537
1989	14	0.376
1988	15	0.402
1987	9	0.241
1986	8	0.215
1985	11	0.295
1984	16	0.429
1983	9	0.241
1982	10	0.268
1981	9	0.241
1980	11	0.295
1979	8	0.215
1978	5	0.134
1977	14	0.376
1976	6	0.161
1974	3	0.080
1973	1	0.027
1972	1	0.027
1971	2	0.054
1968	3	0.080
1967	1	0.027
1965	1	0.027
1964	1	0.027
1963	1	0.027
1962	1	0.027
1960	1	0.027
1952	1	0.027
1951	1	0.027
